precinct,Month,ComplainCount,ArrestCount,Borough
88.0,8,584,179,BROOKLYN
88.0,9,1645,179,BROOKLYN
88.0,10,230,129,BROOKLYN
88.0,11,108,130,BROOKLYN
88.0,12,116,291,BROOKLYN
90.0,1,325,262,BROOKLYN
90.0,2,264,279,BROOKLYN
90.0,3,388,256,BROOKLYN
90.0,4,521,227,BROOKLYN
90.0,5,846,262,BROOKLYN
90.0,6,735,282,BROOKLYN
90.0,7,481,182,BROOKLYN
90.0,8,439,230,BROOKLYN
90.0,9,515,216,BROOKLYN
90.0,10,607,215,BROOKLYN
90.0,11,355,239,BROOKLYN
90.0,12,338,196,BROOKLYN
94.0,1,130,124,BROOKLYN
94.0,2,105,102,BROOKLYN
94.0,3,153,116,BROOKLYN
94.0,4,238,99,BROOKLYN
94.0,5,312,95,BROOKLYN
94.0,6,396,97,BROOKLYN
94.0,7,310,70,BROOKLYN
94.0,8,250,106,BROOKLYN
94.0,9,358,121,BROOKLYN
94.0,10,346,113,BROOKLYN
94.0,11,186,93,BROOKLYN
94.0,12,177,94,BROOKLYN
100.0,1,31,118,QUEENS
100.0,2,23,124,QUEENS
100.0,3,49,132,QUEENS
100.0,4,55,109,QUEENS
100.0,5,120,148,QUEENS
100.0,6,177,175,QUEENS
100.0,7,158,166,QUEENS
100.0,8,89,166,QUEENS
100.0,9,90,130,QUEENS
100.0,10,99,155,QUEENS
100.0,11,54,126,QUEENS
100.0,12,43,99,QUEENS
101.0,1,88,182,QUEENS
101.0,2,79,176,QUEENS
101.0,3,119,230,QUEENS
101.0,4,91,200,QUEENS
101.0,5,103,245,QUEENS
101.0,6,131,211,QUEENS
101.0,7,178,194,QUEENS
101.0,8,172,193,QUEENS
101.0,9,177,173,QUEENS
101.0,10,84,187,QUEENS
101.0,11,96,184,QUEENS
101.0,12,115,210,QUEENS
102.0,1,136,241,QUEENS
102.0,2,128,276,QUEENS
102.0,3,216,275,QUEENS
102.0,4,320,291,QUEENS
102.0,5,432,332,QUEENS
102.0,6,633,308,QUEENS
102.0,7,722,299,QUEENS
102.0,8,391,303,QUEENS
102.0,9,526,284,QUEENS
102.0,10,360,356,QUEENS
102.0,11,242,286,QUEENS
102.0,12,173,293,QUEENS
103.0,1,72,534,QUEENS
103.0,2,89,542,QUEENS
103.0,3,132,615,QUEENS
103.0,4,157,553,QUEENS
103.0,5,333,462,QUEENS
103.0,6,247,397,QUEENS
103.0,7,356,382,QUEENS
103.0,8,329,406,QUEENS
103.0,9,294,399,QUEENS
103.0,10,156,410,QUEENS
103.0,11,113,295,QUEENS
103.0,12,93,338,QUEENS
104.0,1,146,197,QUEENS
104.0,2,147,198,QUEENS
104.0,3,153,231,QUEENS
104.0,4,232,216,QUEENS
104.0,5,346,241,QUEENS
104.0,6,325,232,QUEENS
104.0,7,344,182,QUEENS
104.0,8,204,194,QUEENS
104.0,9,251,184,QUEENS
104.0,10,322,202,QUEENS
104.0,11,210,184,QUEENS
104.0,12,210,187,QUEENS
105.0,1,75,220,QUEENS
105.0,2,74,260,QUEENS
105.0,3,96,278,QUEENS
105.0,4,152,272,QUEENS
105.0,5,228,304,QUEENS
105.0,6,279,284,QUEENS
105.0,7,377,268,QUEENS
105.0,8,343,225,QUEENS
105.0,9,328,218,QUEENS
105.0,10,133,215,QUEENS
105.0,11,48,242,QUEENS
105.0,12,63,226,QUEENS
