Location Type,precinct,Month,ComplainCount
Club/Bar/Restaurant,77.0,10,45
Club/Bar/Restaurant,77.0,11,26
Club/Bar/Restaurant,77.0,12,30
Club/Bar/Restaurant,78.0,1,29
Club/Bar/Restaurant,78.0,2,18
Club/Bar/Restaurant,78.0,3,37
Club/Bar/Restaurant,78.0,4,31
Club/Bar/Restaurant,78.0,5,46
Club/Bar/Restaurant,78.0,6,34
Club/Bar/Restaurant,78.0,7,27
Club/Bar/Restaurant,78.0,8,46
Club/Bar/Restaurant,78.0,9,36
Club/Bar/Restaurant,78.0,10,38
Club/Bar/Restaurant,78.0,11,25
Club/Bar/Restaurant,78.0,12,30
Club/Bar/Restaurant,79.0,1,6
Club/Bar/Restaurant,79.0,2,13
Club/Bar/Restaurant,79.0,3,14
Club/Bar/Restaurant,79.0,4,15
Club/Bar/Restaurant,79.0,5,49
Club/Bar/Restaurant,79.0,6,71
Club/Bar/Restaurant,79.0,7,27
Club/Bar/Restaurant,79.0,8,35
Club/Bar/Restaurant,79.0,9,39
Club/Bar/Restaurant,79.0,10,66
Club/Bar/Restaurant,79.0,11,50
Club/Bar/Restaurant,79.0,12,75
Club/Bar/Restaurant,81.0,2,1
Club/Bar/Restaurant,81.0,3,1
Club/Bar/Restaurant,81.0,4,4
Club/Bar/Restaurant,81.0,5,3
Club/Bar/Restaurant,81.0,6,8
Club/Bar/Restaurant,81.0,7,2
Club/Bar/Restaurant,81.0,8,6
Club/Bar/Restaurant,81.0,9,4
Club/Bar/Restaurant,81.0,10,17
Club/Bar/Restaurant,81.0,11,18
Club/Bar/Restaurant,81.0,12,6
Club/Bar/Restaurant,83.0,1,19
Club/Bar/Restaurant,83.0,2,16
Club/Bar/Restaurant,83.0,3,17
Club/Bar/Restaurant,83.0,4,30
Club/Bar/Restaurant,83.0,5,72
Club/Bar/Restaurant,83.0,6,67
Club/Bar/Restaurant,83.0,7,40
Club/Bar/Restaurant,83.0,8,63
Club/Bar/Restaurant,83.0,9,71
Club/Bar/Restaurant,83.0,10,65
Club/Bar/Restaurant,83.0,11,35
Club/Bar/Restaurant,83.0,12,46
Club/Bar/Restaurant,84.0,1,3
Club/Bar/Restaurant,84.0,2,6
Club/Bar/Restaurant,84.0,3,4
Club/Bar/Restaurant,84.0,4,8
Club/Bar/Restaurant,84.0,5,20
Club/Bar/Restaurant,84.0,6,23
Club/Bar/Restaurant,84.0,7,9
Club/Bar/Restaurant,84.0,8,11
Club/Bar/Restaurant,84.0,9,10
Club/Bar/Restaurant,84.0,10,7
Club/Bar/Restaurant,84.0,11,7
Club/Bar/Restaurant,84.0,12,18
Club/Bar/Restaurant,88.0,1,10
Club/Bar/Restaurant,88.0,2,8
Club/Bar/Restaurant,88.0,3,6
Club/Bar/Restaurant,88.0,4,12
Club/Bar/Restaurant,88.0,5,31
Club/Bar/Restaurant,88.0,6,25
Club/Bar/Restaurant,88.0,7,29
Club/Bar/Restaurant,88.0,8,41
Club/Bar/Restaurant,88.0,9,35
Club/Bar/Restaurant,88.0,10,24
Club/Bar/Restaurant,88.0,11,11
Club/Bar/Restaurant,88.0,12,23
Club/Bar/Restaurant,90.0,1,40
Club/Bar/Restaurant,90.0,2,20
Club/Bar/Restaurant,90.0,3,43
Club/Bar/Restaurant,90.0,4,33
Club/Bar/Restaurant,90.0,5,229
Club/Bar/Restaurant,90.0,6,113
Club/Bar/Restaurant,90.0,7,97
Club/Bar/Restaurant,90.0,8,81
Club/Bar/Restaurant,90.0,9,101
Club/Bar/Restaurant,90.0,10,147
